,I_e,I_i,stability,turing,turing_hopf,p_random
0,-0.16666666666666663,-0.3666666666666667,1,0,0,1
0,-0.16666666666666663,-0.33333333333333337,1,0,0,1
0,-0.16666666666666663,-0.30000000000000004,1,0,0,1
0,-0.16666666666666663,-0.2666666666666667,1,0,0,1
0,-0.16666666666666663,-0.2333333333333334,1,0,0,1
0,-0.16666666666666663,-0.19999999999999996,1,0,0,1
0,-0.16666666666666663,-0.16666666666666663,1,0,0,1
0,-0.16666666666666663,-0.1333333333333333,1,0,0,1
0,-0.16666666666666663,-0.09999999999999998,1,0,0,1
0,-0.16666666666666663,-0.06666666666666665,1,0,0,1
0,-0.16666666666666663,-0.033333333333333326,1,0,0,1
0,-0.16666666666666663,0.0,1,0,0,1
0,-0.16666666666666663,0.033333333333333215,1,0,0,1
0,-0.16666666666666663,0.06666666666666665,1,0,0,1
0,-0.16666666666666663,0.10000000000000009,1,0,0,1
0,-0.16666666666666663,0.1333333333333333,1,0,0,1
0,-0.16666666666666663,0.16666666666666674,1,0,0,1
0,-0.16666666666666663,0.19999999999999996,1,0,0,1
0,-0.16666666666666663,0.2333333333333334,1,0,0,1
0,-0.16666666666666663,0.2666666666666666,1,0,0,1
0,-0.16666666666666663,0.30000000000000004,1,0,0,1
0,-0.16666666666666663,0.33333333333333326,1,0,0,1
0,-0.16666666666666663,0.3666666666666667,1,0,0,1
0,-0.16666666666666663,0.3999999999999999,1,0,0,1
0,-0.16666666666666663,0.43333333333333335,1,0,0,1
0,-0.16666666666666663,0.46666666666666656,1,0,0,1
0,-0.16666666666666663,0.5,1,0,0,1
0,-0.16666666666666663,0.5333333333333332,0,0,0,1
0,-0.16666666666666663,0.5666666666666667,0,0,0,1
0,-0.16666666666666663,0.6000000000000001,1,0,0,1
0,-0.16666666666666663,0.6333333333333333,0,0,0,1
0,-0.16666666666666663,0.6666666666666667,0,0,0,1
0,-0.16666666666666663,0.7,0,0,0,1
0,-0.16666666666666663,0.7333333333333334,0,0,0,1
0,-0.16666666666666663,0.7666666666666666,0,0,0,1
0,-0.16666666666666663,0.8,0,0,0,1
0,-0.16666666666666663,0.8333333333333333,0,0,0,1
0,-0.16666666666666663,0.8666666666666667,0,0,0,1
0,-0.16666666666666663,0.8999999999999999,0,0,0,1
0,-0.16666666666666663,0.9333333333333333,0,0,0,1
0,-0.16666666666666663,0.9666666666666666,0,0,0,1
0,-0.16666666666666663,1.0,0,0,0,1
0,-0.1333333333333333,-1.0,0,0,0,2
0,-0.1333333333333333,-0.9666666666666667,0,0,0,2
0,-0.1333333333333333,-0.9333333333333333,0,0,0,2
0,-0.1333333333333333,-0.9,0,0,0,2
0,-0.1333333333333333,-0.8666666666666667,0,0,0,2
0,-0.1333333333333333,-0.8333333333333334,0,0,0,2
0,-0.1333333333333333,-0.8,0,0,0,2
0,-0.1333333333333333,-0.7666666666666666,0,0,0,2
0,-0.1333333333333333,-0.7333333333333334,0,0,0,2
0,-0.1333333333333333,-0.7,0,0,0,2
0,-0.1333333333333333,-0.6666666666666667,0,0,0,2
0,-0.1333333333333333,-0.6333333333333333,0,0,0,2
0,-0.1333333333333333,-0.6,0,0,0,2
0,-0.1333333333333333,-0.5666666666666667,0,0,0,3
0,-0.1333333333333333,-0.5333333333333333,0,0,0,3
0,-0.1333333333333333,-0.5,1,1,0,3
0,-0.1333333333333333,-0.4666666666666667,1,1,0,3
0,-0.1333333333333333,-0.43333333333333335,1,1,0,3
0,-0.1333333333333333,-0.4,1,1,0,3
0,-0.1333333333333333,-0.3666666666666667,1,0,0,1
0,-0.1333333333333333,-0.33333333333333337,1,0,0,1
0,-0.1333333333333333,-0.30000000000000004,1,0,0,1
0,-0.1333333333333333,-0.2666666666666667,1,0,0,1
0,-0.1333333333333333,-0.2333333333333334,1,0,0,1
0,-0.1333333333333333,-0.19999999999999996,1,0,0,1
0,-0.1333333333333333,-0.16666666666666663,1,0,0,1
0,-0.1333333333333333,-0.1333333333333333,1,0,0,1
0,-0.1333333333333333,-0.09999999999999998,1,0,0,1
0,-0.1333333333333333,-0.06666666666666665,1,0,0,1
0,-0.1333333333333333,-0.033333333333333326,1,0,0,1
0,-0.1333333333333333,0.0,1,0,0,1
0,-0.1333333333333333,0.033333333333333215,1,0,0,1
0,-0.1333333333333333,0.06666666666666665,1,0,0,1
0,-0.1333333333333333,0.10000000000000009,1,0,0,1
0,-0.1333333333333333,0.1333333333333333,1,0,0,1
0,-0.1333333333333333,0.16666666666666674,1,0,0,1
0,-0.1333333333333333,0.19999999999999996,1,0,0,1
0,-0.1333333333333333,0.2333333333333334,1,0,0,1
0,-0.1333333333333333,0.2666666666666666,1,0,0,1
0,-0.1333333333333333,0.30000000000000004,1,0,0,1
0,-0.1333333333333333,0.33333333333333326,1,0,0,1
0,-0.1333333333333333,0.3666666666666667,1,0,0,1
0,-0.1333333333333333,0.3999999999999999,1,0,0,1
0,-0.1333333333333333,0.43333333333333335,1,0,0,1
0,-0.1333333333333333,0.46666666666666656,1,0,0,1
0,-0.1333333333333333,0.5,0,0,0,1
0,-0.1333333333333333,0.5333333333333332,0,0,0,1
0,-0.1333333333333333,0.5666666666666667,0,0,0,1
0,-0.1333333333333333,0.6000000000000001,1,0,0,1
0,-0.1333333333333333,0.6333333333333333,0,0,0,1
0,-0.1333333333333333,0.6666666666666667,0,0,0,1
0,-0.1333333333333333,0.7,0,0,0,1
0,-0.1333333333333333,0.7333333333333334,0,0,0,1
0,-0.1333333333333333,0.7666666666666666,1,0,0,1
0,-0.1333333333333333,0.8,0,0,0,1
0,-0.1333333333333333,0.8333333333333333,0,0,0,1
0,-0.1333333333333333,0.8666666666666667,0,0,0,1
0,-0.1333333333333333,0.8999999999999999,0,0,0,1
0,-0.1333333333333333,0.9333333333333333,0,0,0,1
0,-0.1333333333333333,0.9666666666666666,1,0,0,1
0,-0.1333333333333333,1.0,0,0,0,1
0,-0.09999999999999998,-1.0,0,0,0,2
0,-0.09999999999999998,-0.9666666666666667,0,0,0,2
0,-0.09999999999999998,-0.9333333333333333,0,0,0,2
0,-0.09999999999999998,-0.9,0,0,0,2
0,-0.09999999999999998,-0.8666666666666667,0,0,0,2
0,-0.09999999999999998,-0.8333333333333334,0,0,0,2
0,-0.09999999999999998,-0.8,0,0,0,2
0,-0.09999999999999998,-0.7666666666666666,0,0,0,2
0,-0.09999999999999998,-0.7333333333333334,0,0,0,2
0,-0.09999999999999998,-0.7,0,0,0,2
0,-0.09999999999999998,-0.6666666666666667,0,0,0,2
0,-0.09999999999999998,-0.6333333333333333,0,0,0,2
0,-0.09999999999999998,-0.6,0,0,0,2
0,-0.09999999999999998,-0.5666666666666667,0,0,0,2
0,-0.09999999999999998,-0.5333333333333333,0,0,0,3
0,-0.09999999999999998,-0.5,0,0,0,3
0,-0.09999999999999998,-0.4666666666666667,1,1,0,3
0,-0.09999999999999998,-0.43333333333333335,1,1,0,3
0,-0.09999999999999998,-0.4,1,1,0,3
0,-0.09999999999999998,-0.3666666666666667,1,1,0,3
0,-0.09999999999999998,-0.33333333333333337,1,0,0,1
0,-0.09999999999999998,-0.30000000000000004,1,0,0,1
0,-0.09999999999999998,-0.2666666666666667,1,0,0,1
0,-0.09999999999999998,-0.2333333333333334,1,0,0,1
0,-0.09999999999999998,-0.19999999999999996,1,0,0,1
0,-0.09999999999999998,-0.16666666666666663,1,0,0,1
0,-0.09999999999999998,-0.1333333333333333,1,0,0,1
0,-0.09999999999999998,-0.09999999999999998,1,0,0,1
0,-0.09999999999999998,-0.06666666666666665,1,0,0,1
0,-0.09999999999999998,-0.033333333333333326,1,0,0,1
0,-0.09999999999999998,0.0,1,0,0,1
0,-0.09999999999999998,0.033333333333333215,1,0,0,1
0,-0.09999999999999998,0.06666666666666665,1,0,0,1
0,-0.09999999999999998,0.10000000000000009,1,0,0,1
0,-0.09999999999999998,0.1333333333333333,1,0,0,1
0,-0.09999999999999998,0.16666666666666674,1,0,0,1
0,-0.09999999999999998,0.19999999999999996,1,0,0,1
0,-0.09999999999999998,0.2333333333333334,1,0,0,1
0,-0.09999999999999998,0.2666666666666666,1,0,0,1
0,-0.09999999999999998,0.30000000000000004,1,0,0,1
0,-0.09999999999999998,0.33333333333333326,1,0,0,1
0,-0.09999999999999998,0.3666666666666667,1,0,0,1
0,-0.09999999999999998,0.3999999999999999,1,0,0,1
0,-0.09999999999999998,0.43333333333333335,1,0,0,1
0,-0.09999999999999998,0.46666666666666656,1,0,0,1
0,-0.09999999999999998,0.5,0,0,0,1
0,-0.09999999999999998,0.5333333333333332,0,0,0,1
0,-0.09999999999999998,0.5666666666666667,1,0,0,1
0,-0.09999999999999998,0.6000000000000001,0,0,0,1
0,-0.09999999999999998,0.6333333333333333,0,0,0,1
0,-0.09999999999999998,0.6666666666666667,1,0,0,1
0,-0.09999999999999998,0.7,0,0,0,1
0,-0.09999999999999998,0.7333333333333334,0,0,0,1
0,-0.09999999999999998,0.7666666666666666,1,0,0,1
0,-0.09999999999999998,0.8,0,0,0,1
0,-0.09999999999999998,0.8333333333333333,0,0,0,1
0,-0.09999999999999998,0.8666666666666667,0,0,0,1
0,-0.09999999999999998,0.8999999999999999,0,0,0,1
0,-0.09999999999999998,0.9333333333333333,0,0,0,1
0,-0.09999999999999998,0.9666666666666666,0,0,0,1
0,-0.09999999999999998,1.0,0,0,0,1
0,-0.06666666666666665,-1.0,0,0,0,2
0,-0.06666666666666665,-0.9666666666666667,0,0,0,2
0,-0.06666666666666665,-0.9333333333333333,0,0,0,2
0,-0.06666666666666665,-0.9,0,0,0,2
0,-0.06666666666666665,-0.8666666666666667,0,0,0,2
0,-0.06666666666666665,-0.8333333333333334,0,0,0,2
0,-0.06666666666666665,-0.8,0,0,0,2
0,-0.06666666666666665,-0.7666666666666666,0,0,0,2
0,-0.06666666666666665,-0.7333333333333334,0,0,0,2
0,-0.06666666666666665,-0.7,0,0,0,2
0,-0.06666666666666665,-0.6666666666666667,0,0,0,2
0,-0.06666666666666665,-0.6333333333333333,0,0,0,2
0,-0.06666666666666665,-0.6,0,0,0,2
0,-0.06666666666666665,-0.5666666666666667,0,0,0,2
0,-0.06666666666666665,-0.5333333333333333,0,0,0,2
0,-0.06666666666666665,-0.5,0,0,0,3
0,-0.06666666666666665,-0.4666666666666667,0,0,0,3
0,-0.06666666666666665,-0.43333333333333335,1,1,0,3
0,-0.06666666666666665,-0.4,1,1,0,3
0,-0.06666666666666665,-0.3666666666666667,1,1,0,3
0,-0.06666666666666665,-0.33333333333333337,1,1,0,3
0,-0.06666666666666665,-0.30000000000000004,1,0,0,1
0,-0.06666666666666665,-0.2666666666666667,1,0,0,1
0,-0.06666666666666665,-0.2333333333333334,1,0,0,1
0,-0.06666666666666665,-0.19999999999999996,1,0,0,1
0,-0.06666666666666665,-0.16666666666666663,1,0,0,1
0,-0.06666666666666665,-0.1333333333333333,1,0,0,1
0,-0.06666666666666665,-0.09999999999999998,1,0,0,1
0,-0.06666666666666665,-0.06666666666666665,1,0,0,1
0,-0.06666666666666665,-0.033333333333333326,1,0,0,1
0,-0.06666666666666665,0.0,1,0,0,1
0,-0.06666666666666665,0.033333333333333215,1,0,0,1
0,-0.06666666666666665,0.06666666666666665,1,0,0,1
0,-0.06666666666666665,0.10000000000000009,1,0,0,1
0,-0.06666666666666665,0.1333333333333333,1,0,0,1
0,-0.06666666666666665,0.16666666666666674,1,0,0,1
0,-0.06666666666666665,0.19999999999999996,1,0,0,1
0,-0.06666666666666665,0.2333333333333334,1,0,0,1
0,-0.06666666666666665,0.2666666666666666,1,0,0,1
0,-0.06666666666666665,0.30000000000000004,1,0,0,1
0,-0.06666666666666665,0.33333333333333326,1,0,0,1
0,-0.06666666666666665,0.3666666666666667,1,0,0,1
0,-0.06666666666666665,0.3999999999999999,1,0,0,1
0,-0.06666666666666665,0.43333333333333335,1,0,0,1
0,-0.06666666666666665,0.46666666666666656,1,0,0,1
0,-0.06666666666666665,0.5,0,0,0,1
0,-0.06666666666666665,0.5333333333333332,0,0,0,1
0,-0.06666666666666665,0.5666666666666667,0,0,0,1
0,-0.06666666666666665,0.6000000000000001,0,0,0,1
0,-0.06666666666666665,0.6333333333333333,0,0,0,1
0,-0.06666666666666665,0.6666666666666667,0,0,0,1
0,-0.06666666666666665,0.7,0,0,0,1
0,-0.06666666666666665,0.7333333333333334,1,0,0,1
0,-0.06666666666666665,0.7666666666666666,0,0,0,1
0,-0.06666666666666665,0.8,0,0,0,1
0,-0.06666666666666665,0.8333333333333333,0,0,0,1
0,-0.06666666666666665,0.8666666666666667,0,0,0,1
0,-0.06666666666666665,0.8999999999999999,0,0,0,1
0,-0.06666666666666665,0.9333333333333333,0,0,0,1
0,-0.06666666666666665,0.9666666666666666,0,0,0,1
0,-0.06666666666666665,1.0,0,0,0,1
0,-0.033333333333333326,-1.0,0,0,0,2
0,-0.033333333333333326,-0.9666666666666667,0,0,0,2
0,-0.033333333333333326,-0.9333333333333333,0,0,0,2
0,-0.033333333333333326,-0.9,0,0,0,2
0,-0.033333333333333326,-0.8666666666666667,0,0,0,2
0,-0.033333333333333326,-0.8333333333333334,0,0,0,2
0,-0.033333333333333326,-0.8,0,0,0,2
0,-0.033333333333333326,-0.7666666666666666,0,0,0,2
0,-0.033333333333333326,-0.7333333333333334,0,0,0,2
0,-0.033333333333333326,-0.7,0,0,0,2
0,-0.033333333333333326,-0.6666666666666667,0,0,0,2
0,-0.033333333333333326,-0.6333333333333333,0,0,0,2
0,-0.033333333333333326,-0.6,0,0,0,2
0,-0.033333333333333326,-0.5666666666666667,0,0,0,2
0,-0.033333333333333326,-0.5333333333333333,0,0,0,2
0,-0.033333333333333326,-0.5,0,0,0,2
0,-0.033333333333333326,-0.4666666666666667,0,0,0,3
0,-0.033333333333333326,-0.43333333333333335,1,1,0,3
0,-0.033333333333333326,-0.4,1,1,0,3
0,-0.033333333333333326,-0.3666666666666667,1,1,0,3
0,-0.033333333333333326,-0.33333333333333337,1,1,0,3
0,-0.033333333333333326,-0.30000000000000004,1,0,0,1
0,-0.033333333333333326,-0.2666666666666667,1,0,0,1
0,-0.033333333333333326,-0.2333333333333334,1,0,0,1
0,-0.033333333333333326,-0.19999999999999996,1,0,0,1
0,-0.033333333333333326,-0.16666666666666663,1,0,0,1
0,-0.033333333333333326,-0.1333333333333333,1,0,0,1
0,-0.033333333333333326,-0.09999999999999998,1,0,0,1
0,-0.033333333333333326,-0.06666666666666665,1,0,0,1
0,-0.033333333333333326,-0.033333333333333326,1,0,0,1
0,-0.033333333333333326,0.0,1,0,0,1
0,-0.033333333333333326,0.033333333333333215,1,0,0,1
0,-0.033333333333333326,0.06666666666666665,1,0,0,1
0,-0.033333333333333326,0.10000000000000009,1,0,0,1
0,-0.033333333333333326,0.1333333333333333,1,0,0,1
0,-0.033333333333333326,0.16666666666666674,1,0,0,1
0,-0.033333333333333326,0.19999999999999996,1,0,0,1
0,-0.033333333333333326,0.2333333333333334,1,0,0,1
0,-0.033333333333333326,0.2666666666666666,1,0,0,1
0,-0.033333333333333326,0.30000000000000004,1,0,0,1
0,-0.033333333333333326,0.33333333333333326,1,0,0,1
0,-0.033333333333333326,0.3666666666666667,1,0,0,1
0,-0.033333333333333326,0.3999999999999999,1,0,0,1
0,-0.033333333333333326,0.43333333333333335,1,0,0,1
0,-0.033333333333333326,0.46666666666666656,1,0,0,1
0,-0.033333333333333326,0.5,1,0,0,1
0,-0.033333333333333326,0.5333333333333332,0,0,0,1
0,-0.033333333333333326,0.5666666666666667,0,0,0,1
0,-0.033333333333333326,0.6000000000000001,0,0,0,1
0,-0.033333333333333326,0.6333333333333333,0,0,0,1
0,-0.033333333333333326,0.6666666666666667,0,0,0,1
0,-0.033333333333333326,0.7,0,0,0,1
0,-0.033333333333333326,0.7333333333333334,0,0,0,1
0,-0.033333333333333326,0.7666666666666666,0,0,0,1
0,-0.033333333333333326,0.8,0,0,0,1
0,-0.033333333333333326,0.8333333333333333,0,0,0,1
0,-0.033333333333333326,0.8666666666666667,0,0,0,1
0,-0.033333333333333326,0.8999999999999999,0,0,0,1
0,-0.033333333333333326,0.9333333333333333,0,0,0,1
0,-0.033333333333333326,0.9666666666666666,0,0,0,1
0,-0.033333333333333326,1.0,0,0,0,1
0,0.0,-1.0,0,0,0,2
0,0.0,-0.9666666666666667,0,0,0,2
0,0.0,-0.9333333333333333,0,0,0,2
0,0.0,-0.9,0,0,0,2
0,0.0,-0.8666666666666667,0,0,0,2
0,0.0,-0.8333333333333334,0,0,0,2
0,0.0,-0.8,0,0,0,2
0,0.0,-0.7666666666666666,0,0,0,2
0,0.0,-0.7333333333333334,0,0,0,2
0,0.0,-0.7,0,0,0,2
0,0.0,-0.6666666666666667,0,0,0,2
0,0.0,-0.6333333333333333,0,0,0,2
0,0.0,-0.6,0,0,0,2
0,0.0,-0.5666666666666667,0,0,0,2
0,0.0,-0.5333333333333333,0,0,0,2
0,0.0,-0.5,0,0,0,2
0,0.0,-0.4666666666666667,0,0,0,2
0,0.0,-0.43333333333333335,0,0,0,3
0,0.0,-0.4,1,1,0,3
0,0.0,-0.3666666666666667,1,1,0,3
0,0.0,-0.33333333333333337,1,1,0,3
0,0.0,-0.30000000000000004,1,1,0,3
0,0.0,-0.2666666666666667,1,0,0,1
0,0.0,-0.2333333333333334,1,0,0,1
0,0.0,-0.19999999999999996,1,0,0,1
0,0.0,-0.16666666666666663,1,0,0,1
0,0.0,-0.1333333333333333,1,0,0,1
0,0.0,-0.09999999999999998,1,0,0,1
0,0.0,-0.06666666666666665,1,0,0,1
0,0.0,-0.033333333333333326,1,0,0,1
0,0.0,0.0,1,0,0,1
0,0.0,0.033333333333333215,1,0,0,1
0,0.0,0.06666666666666665,1,0,0,1
0,0.0,0.10000000000000009,1,0,0,1
0,0.0,0.1333333333333333,1,0,0,1
0,0.0,0.16666666666666674,1,0,0,1
0,0.0,0.19999999999999996,1,0,0,1
0,0.0,0.2333333333333334,1,0,0,1
0,0.0,0.2666666666666666,1,0,0,1
0,0.0,0.30000000000000004,1,0,0,1
0,0.0,0.33333333333333326,1,0,0,1
0,0.0,0.3666666666666667,1,0,0,1
0,0.0,0.3999999999999999,1,0,0,1
0,0.0,0.43333333333333335,1,0,0,1
0,0.0,0.46666666666666656,1,0,0,1
0,0.0,0.5,0,0,0,1
0,0.0,0.5333333333333332,0,0,0,1
0,0.0,0.5666666666666667,0,0,0,1
0,0.0,0.6000000000000001,0,0,0,1
0,0.0,0.6333333333333333,0,0,0,1
0,0.0,0.6666666666666667,0,0,0,1
0,0.0,0.7,0,0,0,1
0,0.0,0.7333333333333334,0,0,0,1
0,0.0,0.7666666666666666,0,0,0,1
0,0.0,0.8,0,0,0,1
0,0.0,0.8333333333333333,0,0,0,1
0,0.0,0.8666666666666667,0,0,0,1
0,0.0,0.8999999999999999,0,0,0,1
0,0.0,0.9333333333333333,0,0,0,1
0,0.0,0.9666666666666666,0,0,0,1
0,0.0,1.0,0,0,0,1
0,0.033333333333333215,-1.0,0,0,0,2
0,0.033333333333333215,-0.9666666666666667,0,0,0,2
0,0.033333333333333215,-0.9333333333333333,0,0,0,2
0,0.033333333333333215,-0.9,0,0,0,2
0,0.033333333333333215,-0.8666666666666667,0,0,0,2
0,0.033333333333333215,-0.8333333333333334,0,0,0,2
0,0.033333333333333215,-0.8,0,0,0,2
0,0.033333333333333215,-0.7666666666666666,0,0,0,2
0,0.033333333333333215,-0.7333333333333334,0,0,0,2
0,0.033333333333333215,-0.7,0,0,0,2
0,0.033333333333333215,-0.6666666666666667,0,0,0,2
0,0.033333333333333215,-0.6333333333333333,0,0,0,2
0,0.033333333333333215,-0.6,0,0,0,2
0,0.033333333333333215,-0.5666666666666667,0,0,0,2
0,0.033333333333333215,-0.5333333333333333,0,0,0,2
0,0.033333333333333215,-0.5,0,0,0,2
0,0.033333333333333215,-0.4666666666666667,0,0,0,2
0,0.033333333333333215,-0.43333333333333335,0,0,0,2
0,0.033333333333333215,-0.4,0,0,0,3
0,0.033333333333333215,-0.3666666666666667,1,1,0,3
0,0.033333333333333215,-0.33333333333333337,1,1,0,3
0,0.033333333333333215,-0.30000000000000004,1,1,0,3
0,0.033333333333333215,-0.2666666666666667,1,1,0,3
0,0.033333333333333215,-0.2333333333333334,1,0,0,1
0,0.033333333333333215,-0.19999999999999996,1,0,0,1
0,0.033333333333333215,-0.16666666666666663,1,0,0,1
0,0.033333333333333215,-0.1333333333333333,1,0,0,1
0,0.033333333333333215,-0.09999999999999998,1,0,0,1
0,0.033333333333333215,-0.06666666666666665,1,0,0,1
0,0.033333333333333215,-0.033333333333333326,1,0,0,1
0,0.033333333333333215,0.0,1,0,0,1
0,0.033333333333333215,0.033333333333333215,1,0,0,1
0,0.033333333333333215,0.06666666666666665,1,0,0,1
0,0.033333333333333215,0.10000000000000009,1,0,0,1
0,0.033333333333333215,0.1333333333333333,1,0,0,1
0,0.033333333333333215,0.16666666666666674,1,0,0,1
0,0.033333333333333215,0.19999999999999996,1,0,0,1
0,0.033333333333333215,0.2333333333333334,1,0,0,1
0,0.033333333333333215,0.2666666666666666,1,0,0,1
0,0.033333333333333215,0.30000000000000004,1,0,0,1
0,0.033333333333333215,0.33333333333333326,1,0,0,1
0,0.033333333333333215,0.3666666666666667,1,0,0,1
0,0.033333333333333215,0.3999999999999999,1,0,0,1
0,0.033333333333333215,0.43333333333333335,1,0,0,1
0,0.033333333333333215,0.46666666666666656,1,0,0,1
0,0.033333333333333215,0.5,0,0,0,1
0,0.033333333333333215,0.5333333333333332,0,0,0,1
0,0.033333333333333215,0.5666666666666667,1,0,0,1
0,0.033333333333333215,0.6000000000000001,1,0,0,1
0,0.033333333333333215,0.6333333333333333,1,0,0,1
0,0.033333333333333215,0.6666666666666667,1,0,0,1
0,0.033333333333333215,0.7,1,0,0,1
0,0.033333333333333215,0.7333333333333334,1,0,0,1
0,0.033333333333333215,0.7666666666666666,1,0,0,1
0,0.033333333333333215,0.8,1,0,0,1
0,0.033333333333333215,0.8333333333333333,1,0,0,1
0,0.033333333333333215,0.8666666666666667,1,0,0,1
0,0.033333333333333215,0.8999999999999999,1,0,0,1
0,0.033333333333333215,0.9333333333333333,1,0,0,1
0,0.033333333333333215,0.9666666666666666,1,0,0,1
0,0.033333333333333215,1.0,1,0,0,1
0,0.06666666666666665,-1.0,0,0,0,2
0,0.06666666666666665,-0.9666666666666667,0,0,0,2
0,0.06666666666666665,-0.9333333333333333,0,0,0,2
0,0.06666666666666665,-0.9,0,0,0,2
0,0.06666666666666665,-0.8666666666666667,0,0,0,2
0,0.06666666666666665,-0.8333333333333334,0,0,0,2
0,0.06666666666666665,-0.8,0,0,0,2
0,0.06666666666666665,-0.7666666666666666,0,0,0,2
0,0.06666666666666665,-0.7333333333333334,0,0,0,2
0,0.06666666666666665,-0.7,0,0,0,2
0,0.06666666666666665,-0.6666666666666667,0,0,0,2
0,0.06666666666666665,-0.6333333333333333,0,0,0,2
0,0.06666666666666665,-0.6,0,0,0,2
0,0.06666666666666665,-0.5666666666666667,0,0,0,2
0,0.06666666666666665,-0.5333333333333333,0,0,0,2
0,0.06666666666666665,-0.5,0,0,0,2
0,0.06666666666666665,-0.4666666666666667,0,0,0,2
0,0.06666666666666665,-0.43333333333333335,0,0,0,2
0,0.06666666666666665,-0.4,0,0,0,2
0,0.06666666666666665,-0.3666666666666667,1,1,0,3
0,0.06666666666666665,-0.33333333333333337,1,1,0,3
0,0.06666666666666665,-0.30000000000000004,1,1,0,3
0,0.06666666666666665,-0.2666666666666667,1,1,0,3
0,0.06666666666666665,-0.2333333333333334,1,1,0,3
0,0.06666666666666665,-0.19999999999999996,1,0,0,1
0,0.06666666666666665,-0.16666666666666663,1,0,0,1
0,0.06666666666666665,-0.1333333333333333,1,0,0,1
0,0.06666666666666665,-0.09999999999999998,1,0,0,1
0,0.06666666666666665,-0.06666666666666665,1,0,0,1
0,0.06666666666666665,-0.033333333333333326,1,0,0,1
0,0.06666666666666665,0.0,1,0,0,1
0,0.06666666666666665,0.033333333333333215,1,0,0,1
0,0.06666666666666665,0.06666666666666665,1,0,0,1
0,0.06666666666666665,0.10000000000000009,1,0,0,1
0,0.06666666666666665,0.1333333333333333,1,0,0,1
0,0.06666666666666665,0.16666666666666674,1,0,0,1
0,0.06666666666666665,0.19999999999999996,1,0,0,1
0,0.06666666666666665,0.2333333333333334,1,0,0,1
0,0.06666666666666665,0.2666666666666666,1,0,0,1
0,0.06666666666666665,0.30000000000000004,1,0,0,1
0,0.06666666666666665,0.33333333333333326,1,0,0,1
0,0.06666666666666665,0.3666666666666667,1,0,0,1
0,0.06666666666666665,0.3999999999999999,1,0,0,1
0,0.06666666666666665,0.43333333333333335,1,0,0,1
0,0.06666666666666665,0.46666666666666656,1,0,0,1
0,0.06666666666666665,0.5,0,0,0,1
0,0.06666666666666665,0.5333333333333332,1,0,0,1
0,0.06666666666666665,0.5666666666666667,1,0,0,1
0,0.06666666666666665,0.6000000000000001,1,0,0,1
0,0.06666666666666665,0.6333333333333333,1,0,0,1
0,0.06666666666666665,0.6666666666666667,1,0,0,1
0,0.06666666666666665,0.7,1,0,0,1
0,0.06666666666666665,0.7333333333333334,1,0,0,1
0,0.06666666666666665,0.7666666666666666,1,0,0,1
0,0.06666666666666665,0.8,1,0,0,1
0,0.06666666666666665,0.8333333333333333,1,0,0,1
0,0.06666666666666665,0.8666666666666667,1,0,0,1
0,0.06666666666666665,0.8999999999999999,1,0,0,1
0,0.06666666666666665,0.9333333333333333,1,0,0,1
0,0.06666666666666665,0.9666666666666666,1,0,0,1
0,0.06666666666666665,1.0,1,0,0,1
0,0.10000000000000009,-1.0,0,0,0,2
0,0.10000000000000009,-0.9666666666666667,0,0,0,2
0,0.10000000000000009,-0.9333333333333333,0,0,0,2
0,0.10000000000000009,-0.9,0,0,0,2
0,0.10000000000000009,-0.8666666666666667,0,0,0,2
0,0.10000000000000009,-0.8333333333333334,0,0,0,2
0,0.10000000000000009,-0.8,0,0,0,2
0,0.10000000000000009,-0.7666666666666666,0,0,0,2
0,0.10000000000000009,-0.7333333333333334,0,0,0,2
0,0.10000000000000009,-0.7,0,0,0,2
0,0.10000000000000009,-0.6666666666666667,0,0,0,2
0,0.10000000000000009,-0.6333333333333333,0,0,0,2
0,0.10000000000000009,-0.6,0,0,0,2
0,0.10000000000000009,-0.5666666666666667,0,0,0,2
0,0.10000000000000009,-0.5333333333333333,0,0,0,2
0,0.10000000000000009,-0.5,0,0,0,2
0,0.10000000000000009,-0.4666666666666667,0,0,0,2
0,0.10000000000000009,-0.43333333333333335,0,0,0,2
0,0.10000000000000009,-0.4,0,0,0,2
0,0.10000000000000009,-0.3666666666666667,0,0,0,2
0,0.10000000000000009,-0.33333333333333337,1,1,0,3
0,0.10000000000000009,-0.30000000000000004,1,1,0,3
0,0.10000000000000009,-0.2666666666666667,1,1,0,3
0,0.10000000000000009,-0.2333333333333334,1,1,0,3
0,0.10000000000000009,-0.19999999999999996,1,0,0,1
0,0.10000000000000009,-0.16666666666666663,1,0,0,1
0,0.10000000000000009,-0.1333333333333333,1,0,0,1
0,0.10000000000000009,-0.09999999999999998,1,0,0,1
0,0.10000000000000009,-0.06666666666666665,1,0,0,1
0,0.10000000000000009,-0.033333333333333326,1,0,0,1
0,0.10000000000000009,0.0,1,0,0,1
0,0.10000000000000009,0.033333333333333215,1,0,0,1
0,0.10000000000000009,0.06666666666666665,1,0,0,1
0,0.10000000000000009,0.10000000000000009,1,0,0,1
0,0.10000000000000009,0.1333333333333333,1,0,0,1
0,0.10000000000000009,0.16666666666666674,1,0,0,1
0,0.10000000000000009,0.19999999999999996,1,0,0,1
0,0.10000000000000009,0.2333333333333334,1,0,0,1
0,0.10000000000000009,0.2666666666666666,1,0,0,1
